time,corrected_accel,corrected_disp,corrected_vel
1.905,1.9915241779162,-0.79360744846834,8.2907675611946
1.91,1.8867071159206,-0.75212950273811,8.3004631394292
1.915,1.7818900539251,-0.71060438932998,8.3096346323538
1.92,1.6770729919295,-0.66903472867051,8.3182820399684
1.925,1.572255929934,-0.62742314118624,8.3264053622731
1.93,1.4674388679384,-0.5857722473037,8.3340045992678
1.935,1.3626218059428,-0.54408466744948,8.3410797509525
1.94,1.2578047439472,-0.50236302205011,8.3476308173272
1.945,1.1529876819517,-0.46060993153215,8.353657798392
1.95,1.0481706199561,-0.41882801632212,8.3591606941467
1.955,0.94335355796055,-0.37701989684661,8.3641395045915
1.96,0.83853649596498,-0.33518819353213,8.3685942297263
1.965,0.73371943396941,-0.29333552680527,8.3725248695512
1.97,0.62890237197384,-0.25146451709256,8.375931424066
1.975,0.52408530997827,-0.20957778482054,8.3788138932709
1.98,0.4192682479827,-0.16767795041578,8.3811722771658
1.985,0.31445118598713,-0.12576763430482,8.3830065757507
1.99,0.20963412399156,-0.083849456914209,8.3843167890257
1.995,0.104817061996,-0.041926038670499,8.3851029169906
2,4.2578440773156e-13,-2.3710200469651e-13,8.3853649596456
2.005,-0.10481706199515,0.041926038670034,8.3851029169906
2.01,-0.20963412399071,0.083849456913746,8.3843167890257
2.015,-0.31445118598627,0.12576763430436,8.3830065757507
2.02,-0.41926824798185,0.16767795041532,8.3811722771658
2.025,-0.52408530997742,0.20957778482008,8.3788138932709
2.03,-0.62890237197301,0.2514645170921,8.375931424066
2.035,-0.73371943396856,0.2933355268048,8.3725248695512
2.04,-0.83853649596413,0.33518819353167,8.3685942297264
2.045,-0.9433535579597,0.37701989684614,8.3641395045916
2.05,-1.0481706199553,0.41882801632165,8.3591606941468
2.055,-1.1529876819508,0.46060993153167,8.353657798392
2.06,-1.2578047439464,0.50236302204965,8.3476308173273
2.065,-1.362621805942,0.54408466744902,8.3410797509525
2.07,-1.4674388679376,0.58577224730325,8.3340045992678
2.075,-1.5722559299331,0.62742314118577,8.3264053622732
2.08,-1.6770729919287,0.66903472867005,8.3182820399685
2.085,-1.7818900539242,0.71060438932953,8.3096346323539
2.09,-1.8867071159198,0.75212950273765,8.3004631394293
2.095,-1.9915241779154,0.79360744846788,8.2907675611947
2.1,-2.0963412399109,0.83503560609367,8.2805478976501
2.105,-2.2011583019065,0.87641135518845,8.2698041487956
2.11,-2.3059753639021,0.91773207532569,8.2585363146311
2.115,-2.4107924258977,0.95899514607882,8.2467443951566
2.12,-2.5156094878932,1.0001979470213,8.2344283903721
2.125,-2.6204265498888,1.0413378577266,8.2215883002776
2.13,-2.7252436118844,1.0824122577682,8.2082241248732
2.135,-2.8300606738799,1.1234185267194,8.1943358641588
2.14,-2.9348777358755,1.1643540441538,8.1799235181344
2.145,-3.0396947978711,1.2052161896448,8.1649870868
2.15,-3.1445118598666,1.2460023427659,8.1495265701557
2.155,-3.2493289218622,1.2867098830904,8.1335419682014
2.16,-3.3541459838578,1.327336190192,8.1170332809371
2.165,-3.4589630458533,1.3678786436439,8.1000005083628
2.17,-3.5637801078489,1.4083346230197,8.0824436504785
2.175,-3.6685971698445,1.4487015078928,8.0643627072843
2.18,-3.77341423184,1.4889766778366,8.0457576787801
2.185,-3.8782312938356,1.5291575124246,8.0266285649659
2.19,-3.9830483558312,1.5692413912303,8.0069753658417
2.195,-4.0878654178268,1.6092256938271,7.9867980814076
2.2,-4.1926824798223,1.6491077997885,7.9660967116635
2.205,-4.2974995418179,1.6888850886878,7.9448712566094
2.21,-4.4023166038135,1.7285549400986,7.9231217162453
2.215,-4.507133665809,1.7681147335943,7.9008480905712
2.22,-4.6119507278046,1.8075618487484,7.8780503795872
2.225,-4.7167677898001,1.8468936651343,7.8547285832932
2.23,-4.8215848517957,1.8861075623254,7.8308827016892
2.235,-4.9264019137913,1.9252009198952,7.8065127347752
2.24,-5.0312189757869,1.9641711174172,7.7816186825513
2.245,-5.1360360377824,2.0030155344648,7.7562005450174
2.25,-5.240853099778,2.0417315506115,7.7302583221735
2.255,-5.3456701617736,2.0803165454306,7.7037920140196
2.26,-5.4504872237691,2.1187678984957,7.6768016205557
2.265,-5.5553042857647,2.1570829893802,7.6492871417819
2.27,-5.6601213477603,2.1952591976576,7.6212485776981
2.275,-5.7649384097558,2.2332939029013,7.5926859283043
2.28,-5.8697554717514,2.2711844846847,7.5635991936005
2.285,-5.974572533747,2.3089283225814,7.5339883735868
2.29,-6.0793895957425,2.3465227961647,7.503853468263
2.295,-6.1842066577381,2.3839652850081,7.4731944776293
2.3,-6.2890237197337,2.421253168685,7.4420114016857
2.305,-6.3938407817292,2.458383826769,7.410304240432
2.31,-6.4986578437248,2.4953546388334,7.3780729938684
2.315,-6.6034749057204,2.5321629844518,7.3453176619948
2.32,-6.708291967716,2.5688062431974,7.3120382448112
2.325,-6.8131090297116,2.6052817946439,7.2782347423176
2.33,-6.9179260917071,2.6415870183647,7.2439071545141
2.335,-7.0227431537027,2.6777192939332,7.2090554814005
2.34,-7.1275602156982,2.7136760009228,7.173679722977
2.345,-7.2323772776938,2.749454518907,7.1377798792436
2.35,-7.3371943396893,2.7850522274593,7.1013559502001
2.355,-7.4420114016849,2.8204665061531,7.0644079358467
2.36,-7.5468284636806,2.8556947345618,7.0269358361832
2.365,-7.6516455256761,2.890734292259,6.9889396512099
2.37,-7.7564625876717,2.925582558818,6.9504193809265
2.375,-7.8612796496672,2.9602369138123,6.9113750253331
2.38,-7.9660967116628,2.9946947368154,6.8718065844298
