time,acceleration,velocity,displacement
3.28000,-0.00001,0.00674,0.01277
3.28500,0.00001,0.00673,0.01280
3.29000,0.00002,0.00680,0.01284
3.29500,0.00002,0.00689,0.01287
3.30000,0.00000,0.00692,0.01291
3.30500,0.00000,0.00693,0.01294
3.31000,0.00003,0.00701,0.01298
3.31500,0.00001,0.00712,0.01301
3.32000,-0.00002,0.00711,0.01305
3.32500,-0.00002,0.00702,0.01308
3.33000,0.00001,0.00700,0.01312
3.33500,0.00002,0.00706,0.01315
3.34000,-0.00002,0.00706,0.01319
3.34500,-0.00003,0.00695,0.01322
3.35000,-0.00001,0.00685,0.01326
3.35500,0.00001,0.00684,0.01329
3.36000,0.00001,0.00687,0.01333
3.36500,-0.00001,0.00685,0.01336
3.37000,-0.00002,0.00676,0.01339
3.37500,-0.00001,0.00668,0.01343
3.38000,0.00000,0.00666,0.01346
3.38500,0.00000,0.00667,0.01349
3.39000,-0.00003,0.00660,0.01353
3.39500,-0.00002,0.00647,0.01356
3.40000,0.00002,0.00647,0.01359
